transactionID,orderID,userID,date_of_transaction,amount,transaction_status,payment_name
133,33,33,2016-02-28,8221798,Failed,Diners Club
134,34,34,2019-08-06,5320076,Success,JCB
135,35,35,2012-07-02,5779417,Success,Direct Debit
136,36,36,2020-03-31,8572290,Success,ACH Transfer
137,37,37,2013-02-27,,Success,Wire Transfer
138,38,38,2010-03-27,7956236,Failed,Money Order
139,39,39,2012-05-23,1333502,Failed,Cheque
140,40,40,2013-04-05,9492440,Failed,Mobile Wallet
141,41,41,2021-09-08,5428084,Failed,Alipay
142,42,42,2016-05-07,4134088,Failed,WeChat Pay
143,43,43,2021-03-06,4547715,Success,Samsung Pay
144,44,44,2012-11-08,9338947,Success,Contactless Payment
145,45,45,2015-01-11,8902099,,Amazon Pay
146,46,46,2021-10-30,,Failed,Credit Card
147,47,47,2018-10-19,2498387,Failed,Debit Card
148,48,48,2010-07-10,1085589,Failed,PayPal
149,49,49,2010-09-20,6470597,Failed,Cash
150,50,50,2022-11-07,2231694,Failed,Bank Transfer
151,51,51,2017-06-16,,Success,Cryptocurrency
152,52,52,2012-01-10,,Failed,Venmo
153,53,53,2010-04-24,,,Apple Pay
154,54,54,2018-08-31,,Success,Google Pay
155,55,55,2013-10-16,5651046,,Cash App
156,56,56,2020-03-29,,Success,Stripe
157,57,57,2017-06-16,,Success,Square
158,58,58,2023-11-12,,,Visa
159,59,59,2023-03-04,5014471,,MasterCard
160,60,60,2015-10-20,,Failed,American Express
161,61,61,2020-11-20,8013399,Success,Discover
162,62,62,2018-08-07,,,Diners Club
163,63,63,2013-12-06,42352,Failed,JCB
164,64,64,2022-02-21,9037658,Success,Direct Debit
165,65,65,2015-09-13,,,ACH Transfer
166,66,66,2021-10-12,500097,Success,Wire Transfer
167,67,67,2014-04-09,9886403,Failed,Money Order
168,68,68,2016-03-21,3685791,Failed,Cheque
169,69,69,2022-11-09,6553921,Failed,Mobile Wallet
170,70,70,2022-03-31,1149581,Success,Alipay
171,71,71,2023-10-19,,Success,WeChat Pay
172,72,72,2016-01-16,,,Samsung Pay
173,73,73,2021-03-31,,Success,Contactless Payment
174,74,74,2023-04-28,3699630,Success,Amazon Pay
175,75,75,2012-06-04,4585316,Success,Credit Card
176,76,76,2022-08-21,2328372,Success,Debit Card
177,77,77,2018-09-30,1712338,Success,PayPal
178,78,78,2012-06-21,6612529,Failed,Cash
179,79,79,2018-06-26,3316583,Success,Bank Transfer
180,80,80,2013-08-25,704703,Success,Cryptocurrency
181,81,81,2015-11-05,,,Venmo
182,82,82,2022-04-11,5484184,,Apple Pay
183,83,83,2013-12-04,2177247,Success,Google Pay
184,84,84,2011-03-06,6555470,,Cash App
185,85,85,2017-10-06,,Failed,Stripe
186,86,86,2020-12-22,,Failed,Square
187,87,87,2022-03-27,5243239,Success,Visa
188,88,88,2022-05-03,7533420,Failed,MasterCard
189,89,89,2014-06-06,8473122,Success,American Express
190,90,90,2013-12-26,,Success,Discover
191,91,91,2022-05-14,,Success,Diners Club
192,92,92,2021-07-30,,Failed,JCB
193,93,93,2022-10-15,7272859,Success,Direct Debit
194,94,94,2016-09-04,,Failed,ACH Transfer
195,95,95,2020-08-03,2211329,Success,Wire Transfer
196,96,96,2015-10-30,6154955,Failed,Money Order
197,97,97,2018-12-17,2433857,Failed,Cheque
198,98,98,2022-02-06,6314852,Failed,Mobile Wallet
199,99,99,2014-05-30,4063193,Success,Alipay
200,100,100,2022-01-09,2465924,Success,WeChat Pay
